# Trilegal 1.6 run queried by C. Hirata, May 16, 2016
# Stars to J=22 in 1 deg^2 at the South Galactic Pole
# Magnitudes are SDSS ugriz + UKIDSS ZYJHK
# SDSS are on approximate AB system, UKIDSS on Vega
#
# Effective wavelengths of the filters are below.
# Vega to AB offsets in UKIDSS ZYJHK are below.
# [Hewett et al.: http://www.ukidss.org/technical/photom/hewett-ukidss.pdf]
#
# The following lines of data are used to tell scripts reading this file where the information is:
#
#! col_m2/m1 = 10
#! col_first_band = 12
#! num_bands = 10
#! lambda = 0.3546, 0.4670, 0.6156, 0.7471, 0.8918, 0.8817, 1.0305, 1.2483, 1.6313, 2.2010
#! ab_offset = 0, 0, 0, 0, 0, 0.528, 0.634, 0.938, 1.379, 1.900
#
#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z      Z      Y      J      H      K        Mact
 1   9.23  0.01  0.36333 -1.726 3.571  4.954  8.90  0.038 0.86 17.386 22.258 19.623 18.270 17.446 16.954 16.435 16.075 15.600 15.063 14.849  0.363 
 1   9.23  0.03  0.06522 -4.151 3.241  5.313  8.00  0.037 0.00 23.147 40.960 33.568 29.483 27.034 25.064 24.733 23.302 21.697 20.465 19.595  0.065 
 1   9.23  0.03  0.11949 -2.852 3.472  5.200  8.30  0.037 0.00 20.199 27.642 24.030 22.388 20.778 19.857 19.371 18.797 18.184 17.712 17.405  0.119 
 1   9.23  0.05  0.24905 -2.055 3.549  5.029 10.40  0.038 0.00 20.307 25.634 22.788 21.377 20.440 19.889 19.373 18.992 18.496 17.971 17.722  0.249 
 1   9.23  0.09  0.42158 -1.581 3.578  4.900  7.90  0.037 0.00 16.622 21.288 18.773 17.468 16.666 16.189 15.671 15.311 14.841 14.291 14.100  0.422 
 1   9.23  0.13  0.12693 -2.797 3.474  5.179  8.20  0.037 0.00 19.963 27.310 23.748 22.114 20.527 19.618 19.130 18.562 17.953 17.482 17.175  0.127 
 1   9.25 -0.29  0.05857 -4.411 3.178  5.275  5.60  0.027 0.00 21.397 44.604 35.802 30.691 27.709 25.507 25.198 23.555 21.671 19.522 17.868  0.059 
 1   9.25 -0.23  0.09631 -3.131 3.447  5.286  9.60  0.038 0.90 21.693 31.063 26.456 24.648 22.599 21.465 21.010 20.298 19.580 19.101 18.793  0.096 
 1   9.25 -0.13  0.69001 -0.849 3.655  4.693  8.30  0.037 0.00 15.193 18.572 16.373 15.372 15.051 14.871 14.338 14.101 13.688 13.089 12.998  0.690 
 1   9.25  0.01  0.11064 -2.927 3.465  5.216  8.20  0.037 0.82 19.857 27.916 24.079 22.397 20.607 19.569 19.099 18.448 17.784 17.317 17.000  0.111 
 1   9.25  0.01  0.11620 -2.879 3.470  5.207  9.10  0.038 0.00 21.066 28.590 24.941 23.293 21.661 20.728 20.244 19.662 19.045 18.574 18.266  0.116 
 1   9.25  0.07  0.24917 -2.057 3.547  5.027  9.80  0.038 0.00 19.712 25.059 22.208 20.795 19.850 19.295 18.779 18.396 17.898 17.374 17.125  0.249 
 1   9.25  0.09  1.30107  0.506 3.807  4.221 10.00  0.038 0.88 13.055 14.487 13.331 12.989 12.934 12.955 12.413 12.331 12.115 11.878 11.852  1.301 
 1   9.25  0.19  1.33319  0.529 3.803  4.194  9.80  0.038 0.00 13.248 14.677 13.504 13.172 13.124 13.153 12.611 12.532 12.325 12.103 12.078  1.333 
