# Format of source catalog file:
#
# space delimited
#
# col1: ID number
# col2: redshift, z
# col3: r_eff [in arcsec]
# col4: sigma_e [per component, Bernstein & Jarvis 2002 ellipticity convention]
#
  16455 0.0000 0.7200 0.01069
  16486 0.1480 0.6510 0.09554
  16514 0.0000 0.2370 0.00507
  16556 0.0000 0.2570 0.02939
  16593 0.0000 0.3640 0.00578
  16599 0.0000 0.2550 0.00298
  16616 0.0000 0.3360 0.00636
  16617 0.0000 0.2930 0.00654
  16689 0.0000 0.1890 0.02650
  16731 0.0560 0.1430 0.10548
  16804 0.0620 0.2190 0.08310
  16812 0.0000 0.8830 0.01528
  16842 0.1420 0.8870 0.00092
  16934 0.0000 0.5600 0.02267
  16985 0.0000 0.1620 0.03055
  17139 0.1670 0.2230 0.15446
  17153 0.0000 0.1700 0.16650
  17205 0.0000 0.2350 0.01069
  17211 0.0000 0.5740 0.01650
  17259 0.0000 0.2410 0.01404
  17307 0.1780 0.2410 0.15946
  17310 0.0000 0.1620 0.00294
  17326 0.0000 0.8470 0.00354
  17386 0.0000 0.4280 0.01201
  17418 0.0000 0.5510 0.00254
  17468 0.1410 0.6290 0.00072
  17474 0.0000 0.2290 0.03532
  17555 0.0000 0.3500 0.00265
  17567 0.0000 0.6460 0.00549
  17598 0.1050 0.3210 0.02431
  17695 0.0000 0.8820 0.00566
  17796 0.0000 0.6370 0.00470
  17797 0.1540 0.3650 0.00884
  17819 0.0330 0.3080 0.12994
  17888 0.0000 0.6690 0.00438
  17897 0.0100 0.5910 0.04347
  17900 0.0000 0.1140 0.00669
  18006 0.1500 0.8250 0.00451
  18068 0.0000 0.2120 0.06513
  18075 0.0000 0.2470 0.01460
  18115 0.0000 0.5020 0.00352
  18141 0.1340 0.3770 0.00805
  18196 0.0000 0.5180 0.00132
  18206 0.1490 0.2060 0.09800
  18227 0.1700 0.2150 0.12857
  18243 0.0000 0.3150 0.01296
  18304 0.1860 0.8370 0.07240
  18315 0.0000 0.2030 0.06849
  18321 0.0000 0.3640 0.00709
  18394 0.1030 0.7500 0.00725
  18419 0.0000 0.6160 0.00722
  18425 0.0000 0.3570 0.00641
  18479 0.0000 0.3910 0.00289
  18638 0.0000 0.2320 0.12426
  18712 0.0000 0.7310 0.00615
  18821 0.0000 0.4390 0.00952
  18955 0.0000 0.1390 0.00596
  18986 0.1520 0.1540 0.10644
  19000 0.1900 0.2040 0.16393
  19022 0.0200 0.3280 0.12816
  19071 0.0850 0.5070 0.09986
  19094 0.0780 0.5290 0.11053
  19143 0.0000 0.1540 0.06636
  19166 0.0000 0.2160 0.01769
  19291 0.0000 0.7020 0.01042
  19359 0.1460 0.2420 0.06925
  19384 0.0000 0.1870 0.00446
  19389 0.0000 0.1070 0.05919
  19476 0.0000 0.2510 0.02312
  19542 0.0000 0.6020 0.00589
  19548 0.0650 0.1070 0.12866
  19594 0.0000 0.1590 0.11341
  19616 0.0000 0.3670 0.04279
  19672 0.1980 0.2030 0.09279
  19725 0.0370 0.3950 0.09576
  19751 0.1060 0.3270 0.11668
  19818 0.0000 0.1130 0.02458
  19820 0.0000 0.6240 0.03655
  19910 0.0000 0.4930 0.00132
  20005 0.0000 0.5860 0.00057
  20053 0.0000 0.1900 0.02136
  20058 0.1550 0.6360 0.02239
  20091 0.1470 0.3250 0.12294
  20101 0.0000 0.2200 0.00207
  20168 0.0000 0.3770 0.01207
  20200 0.0000 0.8700 0.00271
  20219 0.0000 0.5230 0.00242
  20237 0.0000 0.4400 0.01028
  20296 0.0430 0.1720 0.19056
  20310 0.0000 0.2510 0.01306
  20438 0.1530 0.7500 0.01997
  20447 0.0000 0.2060 0.00966
  20477 0.1000 2.6790 0.02109
  20490 0.0000 0.3110 0.00290
  20558 0.1560 0.3890 0.08184
  20569 0.0740 0.8500 0.08793
  20585 0.0000 0.2940 0.01414
  20600 0.0730 1.1380 0.00364
  20715 0.0000 0.1820 0.05902
  20787 0.0000 0.5700 0.01061
  20790 0.0000 0.1370 0.08236
  20852 0.0850 0.5580 0.03115
  20857 0.0350 0.1990 0.17010
  20859 0.0000 0.3540 0.00610
  20901 0.0000 0.5760 0.00515
  20934 0.0000 0.4060 0.00086
  20936 0.0000 1.2780 0.05383
  21006 0.0830 0.6240 0.02443
  21192 0.1090 0.6300 0.00055
  21221 0.1800 0.3240 0.06113
  21247 0.1830 0.4430 0.07468
  21293 0.0000 2.0270 0.00029
  21308 0.0720 1.5440 0.04805
  21362 0.0000 0.5730 0.00033
  21364 0.1740 0.1940 0.09194
  21375 0.0970 1.3320 0.01286
  21378 0.1540 0.4370 0.05213
  21445 0.0000 0.4090 0.01228
  21536 0.0000 0.4100 0.00375
  21540 0.1040 0.5720 0.00268
  21627 0.0000 0.6340 0.00504
  21695 0.0000 1.0190 0.00300
  21761 0.0390 0.1840 0.12106
  21822 0.1940 0.2470 0.10949
  21891 0.0870 0.3740 0.05318
  21894 0.0000 0.2710 0.01852
  21928 0.1510 0.3160 0.07035
  21982 0.1480 0.1820 0.12272
  22000 0.0000 0.1580 0.00634
  22040 0.0000 0.3490 0.01031
